County,District
18001,5
18003,8
18005,6
18007,8
18009,7
18011,7
18013,1
18015,1
18017,4
18019,4
18021,8
18023,9
18025,3
18027,9
18029,6
18031,8
18033,8
18035,5
18037,6
18039,3
18041,6
18043,1
18045,3
18047,4
18049,8
18051,4
18053,5
18055,4
18057,6
18059,4
18061,9
18063,7
18065,5
18067,9
18069,9
18071,7
18073,4
18075,3
18077,4
18079,5
18081,4
18083,4
18085,9
18087,7
18089,9
18091,5
18093,6
18095,7
18097,2
18099,8
18101,3
18103,9
18105,1
18107,3
18109,3
18111,5
18113,5
18115,1
18117,4
18119,6
18121,9
18123,4
18125,5
18127,3
18129,9
18131,3
18133,1
18135,4
18137,8
18139,4
18141,7
18143,8
18145,8
18147,5
18149,4
18151,7
18153,3
18155,3
18157,8
18159,6
18161,7
18163,7
18165,4
18167,1
18169,5
18171,8
18173,4
18175,9
18177,1
18179,8
18181,1
18183,1
